LOCAL,SEXO,IDADE,RMSE,MAE,sMAPE
Brasil,Mulheres,0,0.0007495623387378,0.0005571318762187,4.78382964066958
Brasil,Mulheres,1-4,2.22746357917079e-05,1.51124650998305e-05,3.0528567947657
Brasil,Mulheres,5-9,2.95343914910104e-05,2.90417013071198e-05,13.589956649696
Brasil,Mulheres,10-14,1.71174449567649e-05,1.68890226333829e-05,6.75440086379761
Brasil,Mulheres,15-19,7.36675294646919e-05,7.13038557615953e-05,14.6745875958481
Brasil,Mulheres,20-24,3.29863769882625e-05,3.16876444615706e-05,5.49997254904162
Brasil,Mulheres,25-29,4.89116735913553e-05,4.82725656112312e-05,7.09334659651051
Brasil,Mulheres,30-34,9.07995268231139e-05,9.05606304208203e-05,9.78549666569726
Brasil,Mulheres,35-39,4.28024162558924e-05,4.21373544704043e-05,3.29408591755924
Brasil,Mulheres,40-44,0.0001257659468288,0.0001250442430904,6.6051281533494
Brasil,Mulheres,45-49,0.0002139211138767,0.0002136992019181,7.63698643472125
Brasil,Mulheres,50-54,0.0002881891913482,0.0002874221114087,6.95996456633728
Brasil,Mulheres,55-59,0.0004745910497711,0.0004738813527873,7.66888105495457
Brasil,Mulheres,60-64,0.0003285449823219,0.0002915578017125,3.09566002954446
Brasil,Mulheres,65-69,0.0007884112244031,0.0007615810888632,5.2375855388164
Brasil,Mulheres,70-74,0.0011617917886512,0.0011595858353387,5.51153350291166
Brasil,Mulheres,75-79,0.0013923447720675,0.0013900704604479,3.81583064772368
Brasil,Mulheres,80-84,0.0030234865902598,0.0030179416283201,4.71677036611601
Brasil,Mulheres,85-89,0.0047074563467124,0.0046041738009036,4.135451607184
Brasil,Mulheres,90+,0.0031225605422589,0.0030788857588589,1.63613004287699
Brasil,Homens,0,0.0008425023334723,0.0007440777486083,5.51443501552722
Brasil,Homens,1-4,4.53125967496306e-05,3.88094064503526e-05,6.75014517677105
Brasil,Homens,5-9,3.62946389283212e-05,3.57540277359526e-05,13.325613664971
Brasil,Homens,10-14,7.95067208491306e-05,7.7504099338554e-05,19.7079024460525
Brasil,Homens,15-19,0.0001873980412325,0.0001614412523763,8.39909939657176
Brasil,Homens,20-24,0.0001958353039009,0.0001333990230582,4.90807688426744
Brasil,Homens,25-29,0.0002344976592471,0.0002057017128979,7.90409877585507
Brasil,Homens,30-34,0.000382454509849,0.0003734191508717,13.5529360757983
Brasil,Homens,35-39,0.0004594866335731,0.0004537915684773,14.2736300705701
Brasil,Homens,40-44,0.0005416454465735,0.0005403947086148,13.3856167426924
Brasil,Homens,45-49,0.0006411089358441,0.0006402723623894,11.6062615679484
Brasil,Homens,50-54,0.0007456898464089,0.0007455246863128,9.37456939515757
Brasil,Homens,55-59,0.0008900945888184,0.0008888728669579,7.80350511357398
Brasil,Homens,60-64,0.0004221983303382,0.0004049254047691,2.44725359188296
Brasil,Homens,65-69,0.0008141749289053,0.0007669349376994,3.18254306204441
Brasil,Homens,70-74,0.0022155117120184,0.0022150655530758,6.36132138547753
Brasil,Homens,75-79,0.0032593446756061,0.0032585892500135,5.9982357067172
Brasil,Homens,80-84,0.0050143254419604,0.00501188274482,5.84045740485772
Brasil,Homens,85-89,0.0065956467963601,0.0064549278341794,4.7091326161033
Brasil,Homens,90+,0.0154933246447294,0.0152705121967397,7.32469988556698
Brasil,Ambos,0,0.000828204112955,0.0006553769814344,5.14478230298521
Brasil,Ambos,1-4,3.38508367319753e-05,2.69428089796051e-05,5.01605473058027
Brasil,Ambos,5-9,3.30844201462947e-05,3.26179460606538e-05,13.4920479577532
Brasil,Ambos,10-14,4.81109535735906e-05,4.74557573080565e-05,14.7075720421531
Brasil,Ambos,15-19,0.0001020837108161,8.52706661584075e-05,7.12098228801346
Brasil,Ambos,20-24,0.0001068614316832,7.29074730391972e-05,4.42045405581492
Brasil,Ambos,25-29,0.000159712158185,0.0001456781712789,8.84449622373007
Brasil,Ambos,30-34,0.0002243575930978,0.0002206223332268,12.1094554699018
Brasil,Ambos,35-39,0.0002431629623144,0.0002410577674827,10.9432803733353
Brasil,Ambos,40-44,0.0003373259204222,0.0003367693511724,11.4673423210155
Brasil,Ambos,45-49,0.0004631308489072,0.0004615785346547,11.1955979891576
Brasil,Ambos,50-54,0.0004968229098174,0.0004963370109859,8.3502350598961
Brasil,Ambos,55-59,0.000663749116579,0.0006630379820932,7.68186812338737
Brasil,Ambos,60-64,0.00040798815395,0.0003867802817982,3.03474194009798
