Local,Sexo,Ano,faixa_etaria,previsao,Limite Inferior,Limite Superior
Acre,Ambos,2020,0,0.0136673537909924,0.0108969243797316,0.0180219815151126
Acre,Ambos,2020,1-4,0.0001990370989397,0.0001783681786793,0.0002258344617165
Acre,Ambos,2020,5-9,5.267615458196342e-05,4.844585807722467e-05,6.31933454120811e-05
Acre,Ambos,2020,10-14,7.899632033886629e-05,7.086611774985626e-05,8.979512798404512e-05
Acre,Ambos,2020,15-19,0.0011161549511559,0.0010145981532779,0.0012382950819963
Acre,Ambos,2020,20-24,0.0004669056839111,0.000423265430089,0.0005066186761572
Acre,Ambos,2020,25-29,0.0005477914384491,0.000484353564689,0.0006012782898482
Acre,Ambos,2020,30-34,0.0006027924559993,0.0005404299413644,0.0006498587971649
Acre,Ambos,2020,35-39,0.0008066005576933,0.0007324305789106,0.0008767546326481
Acre,Ambos,2020,40-44,0.00111665188096,0.0010555796718827,0.0012504591833194
Acre,Ambos,2020,45-49,0.0018816496652479,0.0018158307727279,0.0020917315753086
Acre,Ambos,2020,50-54,0.0027550104885068,0.0026357348879818,0.0029081971664784
Acre,Ambos,2020,55-59,0.0047903152757738,0.0044810722224561,0.0050746771717212
Acre,Ambos,2020,60-64,0.0071097347223743,0.0067427560741138,0.0075403939740773
Acre,Ambos,2020,65-69,0.0199106246789817,0.0185922715279264,0.0203466667072405
Acre,Ambos,2020,70-74,0.0187780092908784,0.0182171467429253,0.0195762789071102
Acre,Ambos,2020,75-79,0.0453575373322751,0.0447169733972196,0.0469822553411897
Acre,Ambos,2020,80-84,0.074772244858701,0.0741707769444067,0.077246991757498
Acre,Ambos,2020,85-89,0.1274858770280759,0.1235586624781577,0.1309520655056859
Acre,Ambos,2020,90+,0.1920233896583526,0.1893831425956194,0.1982227462799903
Acre,Ambos,2021,0,0.0136835552404238,0.0107515505938347,0.0189378771850262
Acre,Ambos,2021,1-4,0.0002036463534388,0.0001702820288432,0.0002679600143584
Acre,Ambos,2021,5-9,5.210685849944602e-05,4.1419858949291255e-05,7.391266478445743e-05
Acre,Ambos,2021,10-14,7.755720611833874e-05,6.4222521622946e-05,9.359227495310058e-05
Acre,Ambos,2021,15-19,0.0011364037333876,0.0010092993555396,0.0013591149319111
Acre,Ambos,2021,20-24,0.0004544170730757,0.0003767625282752,0.0005226307867645
Acre,Ambos,2021,25-29,0.0005468841761058,0.0004631401921232,0.0006288188364645
Acre,Ambos,2021,30-34,0.0005928912059647,0.0004898534577834,0.0006844178666107
Acre,Ambos,2021,35-39,0.0008093730825713,0.0007005876989685,0.0009661563392924
Acre,Ambos,2021,40-44,0.0011018457307478,0.0009846735837664,0.0013405044037466
Acre,Ambos,2021,45-49,0.0018632350558837,0.0017155363369111,0.0022140192889051
Acre,Ambos,2021,50-54,0.0027267777636256,0.0025156184883227,0.0030470585065475
Acre,Ambos,2021,55-59,0.0047656375457293,0.0043670955622052,0.0052071209731399
Acre,Ambos,2021,60-64,0.0070006449959416,0.006379118539474,0.007836797387335
Acre,Ambos,2021,65-69,0.0198848647625803,0.0180829440916058,0.0209819661617043
Acre,Ambos,2021,70-74,0.0186117895451922,0.0175857126253632,0.0201769986659243
Acre,Ambos,2021,75-79,0.0456421450299052,0.0452424378780379,0.048420499096949
Acre,Ambos,2021,80-84,0.0751863767700227,0.0734119295422335,0.0810818368324493
Acre,Ambos,2021,85-89,0.1280945680679978,0.1226634146953145,0.1343782173905426
Acre,Ambos,2021,90+,0.1935119200760854,0.1911511896887464,0.2020498003732354
Acre,Ambos,2022,0,0.0135277362309914,0.0100658877489313,0.0198770352327102
Acre,Ambos,2022,1-4,0.0002025020272155,0.0001581599065227,0.000290698165773
Acre,Ambos,2022,5-9,5.156702019651553e-05,3.756139159626114e-05,8.15051915218132e-05
Acre,Ambos,2022,10-14,7.728198396471462e-05,5.832186977518855e-05,0.0001030613105632
