LOCAL,SEXO,IDADE,ANO,Previsao,Lower_95,Upper_95
Brasil,Mulheres,0,2020,0.0111783958766956,0.0107615682448246,0.0117754410402236
Brasil,Mulheres,0,2021,0.0106589213533435,0.0102420937214725,0.0112559665168716
Brasil,Mulheres,0,2022,0.0101637215975104,0.0097468939656393,0.0107607667610384
Brasil,Mulheres,0,2023,0.0096916563024453,0.0092748286705743,0.0102887014659734
Brasil,Mulheres,0,2024,0.0092416389906665,0.0088248113587955,0.0098386841541945
Brasil,Mulheres,0,2025,0.0088126344613203,0.0083958068294493,0.0094096796248483
Brasil,Mulheres,0,2026,0.0084036563590959,0.0079868287272249,0.009000701522624
Brasil,Mulheres,0,2027,0.0080137648588852,0.0075969372270142,0.0086108100224132
Brasil,Mulheres,0,2028,0.0076420644606555,0.0072252368287845,0.0082391096241835
Brasil,Mulheres,0,2029,0.0072877018892693,0.0068708742573984,0.0078847470527974
Brasil,Mulheres,0,2030,0.0069498640942369,0.0065330364623659,0.007546909257765
Brasil,Mulheres,0,2031,0.0066277763446277,0.0062109487127567,0.0072248215081558
Brasil,Mulheres,0,2032,0.0063207004145968,0.0059038727827259,0.0069177455781249
Brasil,Mulheres,0,2033,0.0060279328551988,0.0056111052233278,0.0066249780187268
Brasil,Mulheres,0,2034,0.0057488033483692,0.0053319757164982,0.0063458485118972
Brasil,Mulheres,0,2035,0.0054826731391527,0.0050658455072817,0.0060797183026807
Brasil,Mulheres,0,2036,0.0052289335424421,0.0048121059105711,0.0058259787059701
Brasil,Mulheres,0,2037,0.0049870045206736,0.0045701768888026,0.0055840496842017
Brasil,Mulheres,0,2038,0.0047563333290933,0.0043395056972224,0.0053533784926214
Brasil,Mulheres,0,2039,0.0045363932253712,0.0041195655935002,0.0051334383888992
Brasil,Mulheres,0,2040,0.0043266822404941,0.0039098546086231,0.0049237274040222
Brasil,Mulheres,0,2041,0.0041267220080166,0.0037098943761457,0.0047237671715447
Brasil,Mulheres,0,2042,0.0039360566488862,0.0035192290170153,0.0045331018124143
Brasil,Mulheres,0,2043,0.003754251709195,0.003337424077324,0.0043512968727231
Brasil,Mulheres,0,2044,0.0035808931483354,0.0031640655164644,0.0041779383118635
Brasil,Mulheres,0,2045,0.0034155863751583,0.0029987587432873,0.0040126315386863
Brasil,Mulheres,0,2046,0.0032579553298465,0.0028411276979755,0.0038550004933745
Brasil,Mulheres,0,2047,0.0031076416093273,0.0026908139774563,0.0037046867728553
Brasil,Mulheres,0,2048,0.0029643036341493,0.0025474760022783,0.0035613487976773
Brasil,Mulheres,0,2049,0.0028276158548506,0.0024107882229796,0.0034246610183787
Brasil,Mulheres,0,2050,0.0026972679959382,0.0022804403640672,0.0032943131594662
Brasil,Mulheres,0,2051,0.0025729643356878,0.0021561367038168,0.0031700094992159
Brasil,Mulheres,0,2052,0.0024544230200613,0.0020375953881903,0.0030514681835894
Brasil,Mulheres,0,2053,0.002341375409117,0.001924547777246,0.002938420572645
Brasil,Mulheres,0,2054,0.0022335654543682,0.0018167378224973,0.0028306106178963
Brasil,Mulheres,0,2055,0.0021307491056185,0.0017139214737475,0.0027277942691466
Brasil,Mulheres,0,2056,0.002032693745871,0.0016158661140001,0.0026297389093991
Brasil,Mulheres,0,2057,0.0019391776529789,0.0015223500211079,0.0025362228165069
Brasil,Mulheres,0,2058,0.0018499894867645,0.0014331618548935,0.0024470346502925
Brasil,Mulheres,0,2059,0.0017649278003982,0.0013481001685272,0.0023619729639262
Brasil,Mulheres,0,2060,0.0016838005748836,0.0012669729430126,0.0022808457384116
Brasil,Mulheres,0,2061,0.0016064247755519,0.001189597143681,0.00220346993908
Brasil,Mulheres,0,2062,0.0015326259295204,0.0011157982976495,0.0021296710930485
Brasil,Mulheres,0,2063,0.0014622377231194,0.0010454100912484,0.0020592828866474
Brasil,Mulheres,0,2064,0.0013951016183395,0.0009782739864685,0.0019921467818675
Brasil,Mulheres,0,2065,0.0013310664873978,0.0009142388555268,0.0019281116509259
Brasil,Mulheres,0,2066,0.0012699882645616,0.0008531606326906,0.0018670334280897
Brasil,Mulheres,0,2067,0.0012117296144117,0.0007949019825407,0.0018087747779397
Brasil,Mulheres,0,2068,0.0011561596157656,0.0007393319838946,0.0017532047792936
Brasil,Mulheres,0,2069,0.0011031534605183,0.0006863258286473,0.0017001986240463
Brasil,Mulheres,0,2070,0.0010525921666924,0.0006357645348214,0.0016496373302205
Brasil,Mulheres,1-4,2020,0.000482882228414,0.0004713051388997,0.0005027465299336
Brasil,Mulheres,1-4,2021,0.0004717926298634,0.0004602155403491,0.000491656931383
Brasil,Mulheres,1-4,2022,0.0004596195407313,0.0004480424512169,0.0004794838422508
Brasil,Mulheres,1-4,2023,0.0004492803781659,0.0004377032886516,0.0004691446796855
Brasil,Mulheres,1-4,2024,0.000438800596994,0.0004272235074797,0.0004586648985136
Brasil,Mulheres,1-4,2025,0.0004293611511942,0.0004177840616799,0.0004492254527138
Brasil,Mulheres,1-4,2026,0.0004201247447425,0.0004085476552282,0.0004399890462621
Brasil,Mulheres,1-4,2027,0.0004115597152331,0.0003999826257188,0.0004314240167527
Brasil,Mulheres,1-4,2028,0.0004033026429276,0.0003917255534133,0.0004231669444472
Brasil,Mulheres,1-4,2029,0.0003955311259644,0.0003839540364501,0.000415395427484
Brasil,Mulheres,1-4,2030,0.0003880806862825,0.0003765035967682,0.0004079449878021
Brasil,Mulheres,1-4,2031,0.0003810116525493,0.0003694345630349,0.0004008759540688
Brasil,Mulheres,1-4,2032,0.0003742442292709,0.0003626671397566,0.0003941085307905
Brasil,Mulheres,1-4,2033,0.0003677925299575,0.0003562154404432,0.0003876568314771
Brasil,Mulheres,1-4,2034,0.0003616137207277,0.0003500366312134,0.0003814780222473
Brasil,Mulheres,1-4,2035,0.0003557045933784,0.000344127503864,0.0003755688948979
Brasil,Mulheres,1-4,2036,0.0003500391636444,0.0003384620741301,0.000369903465164
Brasil,Mulheres,1-4,2037,0.0003446084861982,0.0003330313966839,0.0003644727877178
Brasil,Mulheres,1-4,2038,0.0003393948107644,0.0003278177212501,0.000359259112284
Brasil,Mulheres,1-4,2039,0.0003343879690224,0.0003228108795081,0.000354252270542
Brasil,Mulheres,1-4,2040,0.0003295746465493,0.000317997557035,0.0003494389480689
Brasil,Mulheres,1-4,2041,0.0003249451051031,0.0003133680155888,0.0003448094066227
Brasil,Mulheres,1-4,2042,0.0003204887096997,0.0003089116201854,0.0003403530112193
Brasil,Mulheres,1-4,2043,0.000316196668499,0.0003046195789847,0.0003360609700186
Brasil,Mulheres,1-4,2044,0.0003120601522623,0.000300483062748,0.0003319244537819
Brasil,Mulheres,1-4,2045,0.0003080713967245,0.0002964943072102,0.0003279356982441
Brasil,Mulheres,1-4,2046,0.00030422289948,0.0002926458099657,0.0003240872009996
Brasil,Mulheres,1-4,2047,0.0003005078517418,0.0002889307622275,0.0003203721532614
Brasil,Mulheres,1-4,2048,0.0002969197853938,0.0002853426958795,0.0003167840869134
