regiao,Faixa_Etaria,taxa,ano,previsto,lmt_inf,lmt_max
Brasil,0,Homens,2024,0.008834266639487514,0.006413582340454474,0.01216859204648984
Brasil,0,Homens,2025,0.008383389039446874,0.005280677112667576,0.013309128789208424
Brasil,0,Homens,2026,0.007955523039408188,0.00446639408022214,0.014170345404767035
Brasil,0,Homens,2027,0.007549494188179809,0.0038274206789543435,0.014891193646613135
Brasil,0,Homens,2028,0.007164187975452147,0.003305836924553736,0.015525747494196713
Brasil,0,Homens,2029,0.006798546772573625,0.002870510348863631,0.016101749376088745
Brasil,0,Homens,2030,0.006451566929461284,0.0025020219013539512,0.01663563209530445
Brasil,0,Homens,2031,0.0061222960196774465,0.002187093612584614,0.01713804490895253
Brasil,0,Homens,2032,0.005809830226110386,0.0019160702354412804,0.017616330879672643
Brasil,0,Homens,2033,0.005513311860082877,0.0016816198823746968,0.018075789888738706
Brasil,0,Homens,2034,0.005231927007078943,0.0014779963567938853,0.01852038408726563
Brasil,0,Homens,2035,0.0049649032926264705,0.0013005886571100778,0.018953159840641966
Brasil,0,Homens,2036,0.004711507762203233,0.0011456294701507445,0.019376513935505168
Brasil,0,Homens,2037,0.004471044869346938,0.0010099974563684692,0.019792368879413023
Brasil,0,Homens,2038,0.004242854566446813,8.910778270074307e-4,0.020202292466950208
Brasil,0,Homens,2039,0.0040263104929761095,7.866607723156777e-4,0.020607581763774748
Brasil,0,Homens,2040,0.0038208182561924545,6.948654051672408e-4,0.021009323587407473
Brasil,0,Homens,2041,0.0036258137995867144,6.140814706483781e-4,0.021408439006297797
Brasil,0,Homens,2042,0.0034407618546018733,5.429237802629289e-4,0.021805716696273573
Brasil,0,Homens,2043,0.0032651544713721277,4.8019598875205754e-4,0.022201838356934227
Brasil,0,Homens,2044,0.003098509624449143,4.248613818124132e-4,0.022597398360491492
Brasil,0,Homens,2045,0.0029403698896883785,3.7601902724116685e-4,0.022992919139277805
Brasil,0,Homens,2046,0.0027903011886635997,3.3288409950010686e-4,0.02338886337662095
Brasil,0,Homens,2047,0.002647891597163182,2.9477150078663453e-4,0.023785643766838976
Brasil,0,Homens,2048,0.0025127502144976087,2.6108212061230865e-4,0.024183630903755225
Brasil,0,Homens,2049,0.002384506090514502,2.3129123197618246e-4,0.02458315971219462
Brasil,0,Homens,2050,0.002262807207375988,2.0493863553470155e-4,0.024984534733499358
Brasil,0,Homens,2051,0.002147319513303454,1.8162024681307094e-4,0.025388034501238988
Brasil,0,Homens,2052,0.0020377260056373956,1.609808842017675e-4,0.02579391518838074
Brasil,0,Homens,2053,0.0019337258606954852,1.4270806315502547e-4,0.02620241366642651
Brasil,0,Homens,2054,0.0018350336080403783,1.2652663873758747e-4,0.02661375008642623
Brasil,0,Homens,2055,0.0017413783468906941,1.1219416731109513e-4,0.027028130068575195
Brasil,0,Homens,2056,0.0016525030025243215,9.949688074445423e-5,0.027445746569337633
