regiao,Faixa_Etaria,taxa,ano,previsto,previsao_lee_miler_2_1$lmt_inf,previsao_lee_miler_3_1$lmt_max
Brasil,0,Homens,2024,0.008321117964337089,0.007549677868184732,0.009171385241243675
Brasil,0,Homens,2025,0.0078627483675843,0.00708136711475954,0.008730349788403665
Brasil,0,Homens,2026,0.007429628104890683,0.00664273489761761,0.008309736069217304
Brasil,0,Homens,2027,0.00702036631422056,0.006231754175784668,0.007908775249408327
Brasil,0,Homens,2028,0.006633648749309498,0.005846575198271641,0.007526679164620044
Brasil,0,Homens,2029,0.006268233559277052,0.005485498865311792,0.007162657931096629
Brasil,0,Homens,2030,0.005922947300719966,0.0051469570558868956,0.006815931111564502
Brasil,0,Homens,2031,0.005596681169479594,0.004829497486714422,0.0064857348407311895
Brasil,0,Homens,2032,0.005288387439982795,0.0045317716438366,0.00617132634063857
Brasil,0,Homens,2033,0.004997076100722081,0.004252524877042782,0.005871986708699168
Brasil,0,Homens,2034,0.00472181167507066,0.0039905880694713685,0.005587022540712164
Brasil,0,Homens,2035,0.004461710217223203,0.0037448704906556185,0.005315766756726688
Brasil,0,Homens,2036,0.0042159364736155044,0.0035143535642786286,0.005057578876020094
Brasil,0,Homens,2037,0.003983701200707618,0.003298085361331792,0.004811844909347936
Brasil,0,Homens,2038,0.0037642586305171844,0.003095175681981246,0.00457797698525242
Brasil,0,Homens,2039,0.003556904075764054,0.0029047916251082715,0.004355412792721538
Brasil,0,Homens,2040,0.0033609716669358368,0.0027261535691836055,0.004143614898895179
Brasil,0,Homens,2041,0.0031758322140073318,0.0025585315055782643,0.003942069984104867
Brasil,0,Homens,2042,0.003000891185947405,0.0024012416779670394,0.003750288024952578
Brasil,0,Homens,2043,0.00283558680152491,0.0022536434906778023,0.003567801447851898
Brasil,0,Homens,2044,0.0026793882252827517,0.0021151366556934103,0.0033941642694619704
Brasil,0,Homens,2045,0.002531793862886897,0.0019851585532047163,0.0032289512360631763
Brasil,0,Homens,2046,0.002392329750376253,0.0018631817846087749,0.0030717569706903572
Brasil,0,Homens,2047,0.0022605480321408688,0.0017487118999685702,0.002922195134434551
Brasil,0,Homens,2048,0.0021360255227408638,0.0016412852844269424,0.002779897606523303
Brasil,0,Homens,2049,0.002018362347947692,0.0015404671900591665,0.0026445136864333024
Brasil,0,Homens,2050,0.0019071806606437902,0.0014458499012730234,0.0025157093202628645
Brasil,0,Homens,2051,0.0018021234274570184,0.0013570510232068904,0.002393166352813179
Brasil,0,Homens,2052,0.001702853282233444,0.0012737118836983858,0.0022765818062351257
Brasil,0,Homens,2053,0.0016090514426667247,0.0011954960403451852,0.002165667185648151
Brasil,0,Homens,2054,0.0015204166866050243,0.0011220878849910682,0.002060147811795868
Brasil,0,Homens,2055,0.001436664384748207,0.0010531913386707817,0.001959762180544413
Brasil,0,Homens,2056,0.001357525586628957,9.885286306577797e-4,0.00186426134883521
Brasil,0,Homens,2057,0.0012827461569427587,9.278391557949892e-4,0.0017734083465593502
Brasil,0,Homens,2058,0.001212085959453192,8.708784047633276e-4,0.0016869776137150004
Brasil,0,Homens,2059,0.0011453180858519026,8.174169623653379e-4,0.0016047544621335967
Brasil,0,Homens,2060,0.0010822281270968911,7.672395692802082e-4,0.0015265345610086716
Brasil,0,Homens,2061,0.0010226134848892025,7.201442430877158e-4,0.0014521234454273975
Brasil,0,Homens,2062,9.662827210769905e-4,6.759414546675932e-4,0.0013813360470857916
Brasil,0,Homens,2063,9.130549428977228e-4,6.344533563616707e-4,0.001313996246360357
Brasil,0,Homens,2064,8.627592220843833e-4,5.955130585423223e-4,0.001249936444909628
Brasil,0,Homens,2065,8.152340459702529e-4,5.589639514652643e-4,0.0011889971579863684
Brasil,0,Homens,2066,7.703267988296588e-4,5.246590694999525e-4,0.0011310266256537149
Brasil,0,Homens,2067,7.278932717890947e-4,4.924604950289223e-4,0.0010758804421148876
Brasil,0,Homens,2068,6.877971997349581e-4,4.622387994900053e-4,0.0010234212023854095
Brasil,0,Homens,2069,6.499098237307495e-4,4.3387251920414194e-4,9.735181655582062e-4
Brasil,0,Homens,2070,6.141094775385816e-4,4.072476637876855e-4,9.26046933934831e-4
Brasil,1-4,Homens,2024,3.4152552858290896e-4,3.119811811614e-4,3.7386770009532476e-4
Brasil,1-4,Homens,2025,3.23995382938307e-4,2.9394384804317644e-4,3.57119255477397e-4
Brasil,1-4,Homens,2026,3.0736504120469274e-4,2.769737402204248e-4,3.410910668988967e-4
Brasil,1-4,Homens,2027,2.9158831739510137e-4,2.610021270426726e-4,3.2575882735011354e-4
Brasil,1-4,Homens,2028,2.766213962006303e-4,2.45966172207709e-4,3.110972380843015e-4
Brasil,1-4,Homens,2029,2.6242271130603073e-4,2.31808013771685e-4,2.970806672673381e-4
Brasil,1-4,Homens,2030,2.4895282995123413e-4,2.1847409363583175e-4,2.836835732296785e-4
Brasil,1-4,Homens,2031,2.361743434182093e-4,2.059146481850952e-4,2.7088077987964966e-4
Brasil,1-4,Homens,2032,2.2405176313901852e-4,1.940833072873729e-4,2.5864765634570747e-4
Brasil,1-4,Homens,2033,2.1255142213653488e-4,1.82936768831798e-4,2.469602329852161e-4
Brasil,1-4,Homens,2034,2.0164138152410632e-4,1.7243452768511756e-4,2.3579527423416032e-4
Brasil,1-4,Homens,2035,1.9129134180448937e-4,1.6253864505179108e-4,2.251303217010464e-4
Brasil,1-4,Homens,2036,1.8147255872171897e-4,1.5321354867759728e-4,2.1494371648754274e-4
Brasil,1-4,Homens,2037,1.7215776343221256e-4,1.4442585720710223e-4,2.0521460687944067e-4
Brasil,1-4,Homens,2038,1.633210867734048e-4,1.3614422390203902e-4,1.9592294568470878e-4
Brasil,1-4,Homens,2039,1.5493798741959654e-4,1.2833919620953074e-4,1.870494802417372e-4
Brasil,1-4,Homens,2040,1.4698518372548665e-4,1.2098308855355844e-4,1.7857573726307033e-4
Brasil,1-4,Homens,2041,1.3944058906810398e-4,1.140498663451674e-4,1.7048400408304135e-4
Brasil,1-4,Homens,2042,1.3228325050757084e-4,1.0751503965233722e-4,1.6275730745608614e-4
Brasil,1-4,Homens,2043,1.2549329059634244e-4,1.013555652948427e-4,1.5537939075062668e-4
Brasil,1-4,Homens,2044,1.1905185217531902e-4,9.554975636951382e-5,1.483346901645915e-4
Brasil,1-4,Homens,2045,1.129410460035154e-4,9.007719839173301e-5,1.4160831042830097e-4
Brasil,1-4,Homens,2046,1.071439010758423e-4,8.491867137666424e-5,1.351860003417876e-4
Brasil,1-4,Homens,2047,1.016443174910259e-4,8.005607729022268e-5,1.2905412840504338e-4
Brasil,1-4,Homens,2048,9.642702173876616e-5,7.547237238339724e-5,1.2319965873305383e-4
Brasil,1-4,Homens,2049,9.147752428195924e-5,7.11515039900356e-5,1.1761012739700284e-4
Brasil,1-4,Homens,2050,8.678207931617819e-5,6.707835142179346e-5,1.1227361929459404e-4
Brasil,1-4,Homens,2051,8.232764659465862e-5,6.323867063770088e-5,1.0717874562300268e-4
Brasil,1-4,Homens,2052,7.810185521276679e-5,5.961904240193478e-5,1.0231462200536855e-4
Brasil,1-4,Homens,2053,7.409296925137364e-5,5.6206823673597674e-5,9.767084730432362e-5
Brasil,1-4,Homens,2054,7.028985518371688e-5,5.2990101997830774e-5,9.323748314260924e-5
Brasil,1-4,Homens,2055,6.668195095523567e-5,4.995765268938153e-5,8.900503414047634e-5
Brasil,1-4,Homens,2056,6.325923665050487e-5,4.7098898618544406e-5,8.496442887156965e-5
Brasil,1-4,Homens,2057,6.001220666580355e-5,4.440387242573515e-5,8.1107001532862e-5
Brasil,1-4,Homens,2058,5.6931843310037356e-5,4.186318100530204e-5,7.742447431952513e-5
Brasil,1-4,Homens,2059,5.400959176069727e-5,3.946797211184779e-5,7.390894049206839e-5
Brasil,1-4,Homens,2060,5.123733630530255e-5,3.720990295361746e-5,7.055284812043438e-5
Brasil,1-4,Homens,2061,4.860737780234589e-5,3.508111064760295e-5,6.734898448779377e-5
Brasil,1-4,Homens,2062,4.611241229914355e-5,3.3074184420112294e-5,6.429046113539758e-5
Brasil,1-4,Homens,2063,4.3745510747209644e-5,3.118213944478072e-5,6.137069952891087e-5
Brasil,1-4,Homens,2064,4.150009975881882e-5,2.9398392217485346e-5,5.8583417326052254e-5
Brasil,1-4,Homens,2065,3.936994335131323e-5,2.7716737374452856e-5,5.592261522506166e-5
Brasil,1-4,Homens,2066,3.734912562845684e-5,2.6131325866109075e-5,5.338256437341498e-5
