Ano,faixa_etaria,nMx,Local,sexo,ax,n,nqx,lx,dx,Lx,Tx,ex
2024,0,0.0134236271731194,Brasil,Homens,0.0810290153326526,1,0.0132600521787827,100000.0,1326.0052178782753,99336.99739106088,7281890.968220982,72.81890968220982
2024,1-4,0.0005531482788839,Brasil,Homens,1.6888009341195045,4,0.0022097680689588,98673.99478212172,218.0466429061468,394259.8858426746,7182553.970829921,72.7907488359972
2024,5-9,0.0002401378138529,Brasil,Homens,2.5,5,0.0011999686746293,98455.94813921556,118.14405359799096,491984.38056208286,6788294.084987246,68.94752641443945
2024,10-14,0.000322,Brasil,Homens,2.5,5,0.001608704992481,98337.80408561758,158.1965163821568,491293.5291371325,6296309.704425164,64.02735715903617
2024,15-19,0.001369,Brasil,Homens,2.5,5,0.0068216528929737,98179.60756923542,669.747204005707,489223.6698361629,5805016.175288031,59.126496010837926
2024,20-24,0.0023319999999999,Brasil,Homens,2.5,5,0.0115924162134754,97509.86036522972,1130.3748862716143,484723.3646104696,5315792.505451868,54.51543552150738
2024,25-29,0.002397723059999,Brasil,Homens,2.5,5,0.0119171800564166,96379.4854789581,1148.5716821975388,479025.9981892967,4831069.140841398,50.12549212971399
2024,30-34,0.0024832439354522,Brasil,Homens,2.5,5,0.0123396139981941,95230.91379676056,1175.1127169473227,473216.7871914345,4352043.142652102,45.69989900485596
2024,35-39,0.002857572224889,Brasil,Homens,2.5,5,0.0141865136559671,94055.80107981325,1334.3239064417046,466943.1956329619,3878826.355460667,41.239629144928536
2024,40-44,0.003669907029074,Brasil,Homens,2.5,5,0.0181827129799387,92721.47717337152,1685.9280065193534,459392.5658505593,3411883.159827705,36.79711824961689
2024,45-49,0.004978,Brasil,Homens,2.5,5,0.0245840514793396,91035.5491668522,2238.0226271678466,449582.6892663413,2952490.593977146,32.43228190523406
2024,50-54,0.0071689999999999,Brasil,Homens,2.5,5,0.0352138792491569,88797.52653968435,3126.905377192256,436170.369255441,2502907.9047108046,28.186684947719066
2024,55-59,0.0104269999999999,Brasil,Homens,2.5,5,0.0508104973600664,85670.62116249208,4352.966870412059,417470.6886364303,2066737.535455364,24.12422727197656
