idade,Sexo,Ano,regiao,nMx,nAx,nqx,lx,ndx,nLx,Sx,Tx,ex,faixa_etaria
0,Mulheres,2024,Brasil,0.0113236058188109,0.0836219326132571,0.0112073108710854,100000.0,1120.73108710854,98972.9866123352,0.987966399922878,7988169.19699918,79.8816919699918,0
1,Mulheres,2024,Brasil,0.000514449703105167,1.50575709054524,0.00205516170593835,98879.2689128915,203.212886980953,395010.213349104,0.998180313030601,7889196.21038684,79.7861502934138,1-4
5,Mulheres,2024,Brasil,0.000223625770974272,2.31581811691861,0.00111745809814145,98676.0560259105,110.266357898814,493084.305169367,0.998952874437993,7494185.99703774,75.9473604728375,5-9
10,Mulheres,2024,Brasil,0.000222594749115404,2.61987323016685,0.00111238440018241,98565.7896680117,109.643046818353,492567.9839892,0.998498082376551,7001101.69186837,71.0297326836158,10-14
15,Mulheres,2024,Brasil,0.000398453754170689,2.69074943269205,0.00199043731065084,98456.1466211933,195.970787697734,491828.1874533,0.997601081245667,6508533.70787917,66.1059154886544,15-19
20,Mulheres,2024,Brasil,0.000558321334072787,2.6179129289331,0.00278789884844494,98260.1758334956,273.939431054197,490648.331590508,0.996848269231475,6016705.52042587,61.2323911430948,20-24
25,Mulheres,2024,Brasil,0.00070567635658722,2.59742879738981,0.00352240975666552,97986.2364024414,345.147675122891,489101.940147309,0.996033062998238,5526057.18883536,56.3962592270528,25-29
30,Mulheres,2024,Brasil,0.000897532790601509,2.61290945030713,0.00447806972425763,97641.0887273185,437.243603273368,487161.703563305,0.994782898896001,5036955.24868805,51.5864306138036,30-34
35,Mulheres,2024,Brasil,0.00122426678795356,2.64186127943392,0.00610371257699815,97203.8451240452,593.304332016225,484620.131701819,0.99257625658346,4549793.54512475,46.8067239451135,35-39
40,Mulheres,2024,Brasil,0.00179511876727537,2.64877170400324,0.008937869466472,96610.5407920289,863.492402684424,481022.436189575,0.989317735881783,4065173.41342293,42.0779490529292,40-44
45,Mulheres,2024,Brasil,0.0025456792015702,2.64644103589894,0.0126525892076336,95747.0483893445,1211.44807111379,475884.02747941,0.984665137858105,3584150.97723335,37.4335401197832,45-49
50,Mulheres,2024,Brasil,0.00371896331132396,2.65209494169379,0.0184338563120226,94535.6003182307,1742.65567263708,468586.411522483,0.97758032617684,3108266.94975394,32.8793273570034,50-54
55,Mulheres,2024,Brasil,0.00548294762698281,2.65735463953079,0.0270670723679138,92792.9446455936,2511.63334795409,458080.857018184,0.966552993853134,2639680.53823146,28.4469961408516,55-59
60,Mulheres,2024,Brasil,0.0083609887840999,2.66414075225026,0.0410041294599247,90281.3112976395,3701.90657626018,442759.423777735,0.948465280441185,2181599.68121328,24.1644660434869,60-64
65,Mulheres,2024,Brasil,0.0131067628243007,2.64627623001603,0.0635726179790421,86579.4047213794,5504.07942120513,419941.941041327,0.92371841487108,1738840.25743554,20.0837631424158,65-69
70,Mulheres,2024,Brasil,0.0192357442517164,2.65890884829791,0.0920341800212137,81075.3253001742,7461.7010839547,387908.104116579,0.879009743047056,1318898.31639422,16.2675673703573,70-74
75,Mulheres,2024,Brasil,0.0340642435354351,2.66741380922361,0.157784046945305,73613.6242162195,11615.055539146,340975.002925385,0.794655327034667,930990.212277638,12.646982432805,75-79
80,Mulheres,2024,Brasil,0.0604005945031838,2.61485761505,0.263973840412425,61998.5686770735,16366.0002737605,270957.602460318,0.663472947174517,590015.209352253,9.51659404308852,80-84
85,Mulheres,2024,Brasil,0.108155580937894,2.51125523789395,0.426087291538302,45632.568403313,19443.4574769039,179773.039063688,0.436549904530006,319057.606891935,6.99188360541132,85-89
90,Mulheres,2024,Brasil,0.1880259337754,5.31841528410924,1.0,26189.1109264091,26189.1109264091,139284.567828246,0.0,139284.567828246,5.31841528410924,90+
0,Homens,2024,Brasil,0.0134037918767264,0.080566770885818,0.0132406159602844,100000.0,1324.06159602845,98782.6137712175,0.985878679342449,7330166.3971919,73.301663971919,0
1,Homens,2024,Brasil,0.000581437748950594,1.61308383885013,0.00232252769163239,98675.9384039716,229.177599441042,394156.725900007,0.997892854473341,7231383.78342068,73.2841653232216,1-4
5,Homens,2024,Brasil,0.000257050604585686,2.36515004929957,0.00128438312337459,98446.7608045305,126.443358128221,491900.644746722,0.998713180062077,6837227.05752067,69.4510108981262,5-9
10,Homens,2024,Brasil,0.000315144139299173,2.84310956498206,0.00157465035723599,98320.3174464023,154.820122990539,491267.657189585,0.996316044237894,6345326.41277395,64.5372856554598,10-14
15,Homens,2024,Brasil,0.00133856085074573,2.90948975858402,0.00667412820650539,98165.4973234117,655.169114591816,489457.848873145,0.99073430222282,5854058.75558436,59.6345856253123,15-19
20,Homens,2024,Brasil,0.00228008173263521,2.62227744587312,0.0113389357370043,97510.3282088199,1105.663345254,484922.680370818,0.98796960046301,5364600.90671122,55.0157199268455,20-24
25,Homens,2024,Brasil,0.00246287065456313,2.51303228998371,0.0122393860566157,96404.6648635659,1179.93391092384,479088.866781409,0.987727301613168,4879678.2263404,50.6166193642832,25-29
30,Homens,2024,Brasil,0.00248779055295716,2.52430420532643,0.0123628100617208,95224.7309526421,1177.24526194598,473209.153618911,0.986926440849979,4400589.35955899,46.2126730685911,30-34
35,Homens,2024,Brasil,0.0028373363111785,2.57391738132228,0.0140896935678345,94047.4856906961,1325.10025420721,467022.625758743,0.984096697270235,3927380.20594008,41.7595449479263,35-39
40,Homens,2024,Brasil,0.00364943288626645,2.60532221037039,0.0180890800557003,92722.3854364889,1677.26265311615,459595.423559652,0.979153338252787,3460357.58018134,37.3195487140648,40-44
45,Homens,2024,Brasil,0.00487883583055947,2.62645835174984,0.0241149254216873,91045.1227833728,2195.54634592941,450014.393224137,0.971070666984195,3000762.15662169,32.9590654049808,45-49
50,Homens,2024,Brasil,0.00703121997098159,2.63975997581943,0.0345821956338116,88849.5764374433,3072.61343434096,436995.77698065,0.958243888095424,2550747.76339755,28.7086091535109,50-54
55,Homens,2024,Brasil,0.0102375948668227,2.63556449045512,0.0499781954950837,85776.9630031024,4286.9778259436,418748.532415219,0.939815544062891,2113751.9864169,24.6424204403279,55-59
60,Homens,2024,Brasil,0.0149310917200729,2.63387276102243,0.072107966155361,81489.9851771588,5876.07709315544,393546.379817347,0.911432498109959,1695003.45400168,20.800144340642,60-64
65,Homens,2024,Brasil,0.0226003837414701,2.6095167054973,0.107209818243715,75613.9080840033,8106.55334238296,358690.960079055,0.874475563427255,1301457.07418433,17.2118742062436,65-69
70,Homens,2024,Brasil,0.031662396778158,2.5964903117958,0.147116304070029,67507.3547416204,9931.43252713152,313666.479411395,0.820205905276969,942766.114105278,13.9653837380186,70-74
75,Homens,2024,Brasil,0.049291140067683,2.58630518094774,0.220251543938447,57575.9222144889,12681.1857614211,257271.098700663,0.731327341222882,629099.634693883,10.9264360951143,75-79
80,Homens,2024,Brasil,0.0784378055269162,2.53867517468434,0.328725064849504,44894.7364530678,14758.0251519361,188149.388586246,0.601014357613903,371828.53599322,8.28223006458505,80-84
85,Homens,2024,Brasil,0.130029746563626,2.44263357792198,0.487904155103246,30136.7113011317,14703.8266649691,113080.483916611,0.384358619293563,183679.147406975,6.09486368872894,85-89
90,Homens,2024,Brasil,0.218600237924746,4.57456043732328,1.0,15432.8846361626,15432.8846361626,70598.6634903636,0.0,70598.6634903636,4.57456043732328,90+
0,Ambos,2024,Brasil,0.0123881091806961,0.0821208461517134,0.0122488303378121,100000.0,1224.88303378121,98875.7053973898,0.986896385358908,7660571.09845871,76.6057109845871,0
1,Ambos,2024,Brasil,0.000548727405516466,1.56143407748268,0.00219197652085306,98775.1169662188,216.512737234458,394572.487282064,0.998034110819548,7561695.39306132,76.5546589597806,1-4
5,Ambos,2024,Brasil,0.00024073724817649,2.34397188078707,0.00120291708980034,98558.6042289843,118.557829373924,492478.128216352,0.998834122627885,7167122.90577926,72.7194034640309,5-9
10,Ambos,2024,Brasil,0.000269994224851563,2.76921807142716,0.00134915852845386,98440.0463996104,132.811228141421,491903.959110403,0.997363904910745,6674644.77756291,67.8041612299496,10-14
15,Ambos,2024,Brasil,0.000878883865062739,2.84566141705254,0.00438611459707203,98307.235171469,431.186799183386,490607.253499407,0.99411189372313,6182740.8184525,62.8920222165588,15-19
20,Ambos,2024,Brasil,0.00143133694038828,2.61959465418362,0.00713238351511347,97876.0483722856,698.08951393493,487718.505850599,0.992371292277988,5692133.5649531,58.156552697165,20-24
25,Ambos,2024,Brasil,0.00158291043149108,2.5304946448623,0.00788373459330486,97177.9588583507,766.12523595833,483997.843918848,0.991898335868257,5204415.0591025,53.5555090911983,25-29
30,Ambos,2024,Brasil,0.00168339456718918,2.54687684925545,0.00838235726975852,96411.8336223923,808.158434455414,480076.65594693,0.990906239020008,4720417.21518365,48.9609733351996,30-34
35,Ambos,2024,Brasil,0.00201598522215027,2.59399458760329,0.0100312697242913,95603.6751879369,959.026252443728,475710.953585674,0.988423989689654,4240340.55923672,44.3533216782837,35-39
