regiao,faixa_etaria,taxa,RMSE_LC,RMSE_LM,MAE_LC,MAE_LM,SMAPE_LC,SMAPE_LM
Brasil,0,Homens,0.01771741370192652,0.017602846820368667,0.01767258978530427,0.01755888625938269,85.0495800322854,84.27554659147894
Brasil,1-4,Homens,6.450394032211061e-4,6.407742203370574e-4,6.421138856550106e-4,6.378856336675934e-4,80.266775726583,79.53021044801147
Brasil,5-9,Homens,1.6978817476971805e-4,1.68392895472713e-4,1.6973301907528032e-4,1.683413789390677e-4,50.06277313817282,49.552287505542516
Brasil,10-14,Homens,1.2810822778657082e-4,1.2698664538434562e-4,1.2788522934128018e-4,1.2676821785982705e-4,28.328612017631777,28.046688224099093
Brasil,15-19,Homens,1.0553574673224952e-4,1.0384435934390231e-4,1.0449384709348194e-4,1.0277534938767042e-4,5.179412917083492,5.096376195259179
Brasil,20-24,Homens,2.587084624627066e-4,2.5677798140554795e-4,2.582634124056886e-4,2.5632240204950124e-4,8.913325858187617,8.843404177008532
Brasil,25-29,Homens,6.190104037877516e-4,6.136379632136943e-4,6.18833842082146e-4,6.134645398434198e-4,21.377224509379978,21.17234435735335
Brasil,30-34,Homens,9.284690827372388e-4,9.204677026492564e-4,9.27516855264494e-4,9.19542344888806e-4,29.656450013819587,29.364373056739446
Brasil,35-39,Homens,0.0012532634706621712,0.0012423819339328905,0.0012526611947071276,0.0012418097475025182,33.894707816255,33.552441225223795
Brasil,40-44,Homens,0.0015997269433789172,0.0015855824859168973,0.001598887477943147,0.0015847828135977732,33.610317111360935,33.265123184311115
Brasil,45-49,Homens,0.0021216353583057633,0.002102750222370998,0.002121357328859249,0.002102500925818633,32.778730143123056,32.440794845971766
Brasil,50-54,Homens,0.002597328274157043,0.002573356729870287,0.002596392205453886,0.0025724761755940607,28.607027958135873,28.306700628575626
Brasil,55-59,Homens,0.003431005123049278,0.0034000128572381576,0.0034281898296227953,0.0033972961006607265,26.693510728304275,26.42148553450397
Brasil,60-64,Homens,0.005448999871309805,0.0054009988308220585,0.005448631425227196,0.00540067255671588,29.63002424360032,29.33152307341902
Brasil,65-69,Homens,0.0077833198695825695,0.007712207473565466,0.007781660845967248,0.007710679084346139,29.03489053250823,28.73251142604388
Brasil,70-74,Homens,0.00898856147330381,0.008905528503792587,0.008988371036678326,0.008905335316652796,23.439740738327576,23.198457265481466
Brasil,75-79,Homens,0.011707493778368678,0.011594610593762779,0.011693356737197494,0.011579786824030032,19.784640885163054,19.574018251840975
Brasil,80-84,Homens,0.012327047249420133,0.012201135668097487,0.0122890062379893,0.012163421873541868,13.497766013199383,13.350625625104524
Brasil,85-89,Homens,0.010313699342832048,0.010216594570065822,0.010226939915308618,0.0101278685079337,7.260916993606606,7.188078078427765
Brasil,90+,Homens,0.0048949774585761935,0.004862100158789529,0.004256076680043519,0.004219901626256545,2.078214152371049,2.0608009883469425
Norte,0,Homens,0.020284208089666054,0.020074399239240166,0.020232907698869186,0.020024077103912314,78.35561626866568,77.23693171097281
Norte,1-4,Homens,7.754900654291252e-4,7.670378482644839e-4,7.73938130904881e-4,7.655195702328194e-4,67.71727273771278,66.73656953993724
Norte,5-9,Homens,3.1294743570093697e-4,3.0955833497214077e-4,3.1276510684148683e-4,3.0937539432765237e-4,64.84144494804552,63.91677638822097
Norte,10-14,Homens,1.9553805108611118e-4,1.9302773934824766e-4,1.9544937745340517e-4,1.929326344886736e-4,35.815664576313715,35.27413153743654
Norte,15-19,Homens,3.264777004859076e-4,3.2031696183473736e-4,3.258735703908095e-4,3.1968980641134e-4,15.275352445965293,15.007035463139548
Norte,20-24,Homens,2.8261339294067015e-4,2.7689171806728134e-4,2.8054473941868413e-4,2.7479143697053433e-4,8.644936455792969,8.475286909184824
Norte,25-29,Homens,4.1355627558122526e-5,4.1395918456249334e-5,3.94922244674968e-5,3.957587625575819e-5,1.2000361671925652,1.2025776221011062
Norte,30-34,Homens,4.6503470365830645e-4,4.5917845805706556e-4,4.6170485124955214e-4,4.558307954634492e-4,13.37319497298968,13.191660149974439
Norte,35-39,Homens,0.0011400981415560856,0.001125382449488918,0.0011383836773140891,0.0011235980170043085,29.571869520394,29.132446041268146
Norte,40-44,Homens,0.0017608062191291716,0.0017383383306590824,0.0017572867512649728,0.0017346813361060675,37.14072517940803,36.576579990057695
Norte,45-49,Homens,0.0021414154143001886,0.0021134922402427864,0.002139889692638191,0.0021118667612381415,34.91585329294671,34.38101258024922
Norte,50-54,Homens,0.003053331616570297,0.0030130713092957288,0.0030532711365350435,0.0030130017590516913,36.65493920343901,36.0852667953658
Norte,55-59,Homens,0.00408574953557897,0.004032886465827095,0.004084615391843437,0.004031783479065135,34.62108767511056,34.09761675204405
Norte,60-64,Homens,0.00584425068607306,0.00576997904172629,0.005843922200936984,0.005769690751853816,34.04622369268203,33.54190694688477
Norte,65-69,Homens,0.008515133564983445,0.008401765639698978,0.008511481223364304,0.008398299439279657,33.17008582595962,32.657493108530076
Norte,70-74,Homens,0.012320689885062071,0.01215390488851061,0.012319850626357529,0.012152947574636926,33.84328000108236,33.309322246010325
