regiao,Faixa_Etaria,Sexo,ano,previsto,lmt_inf,lmt_max
Brasil,0,Homens,2024,0.009987076735446515,0.00800274392527079,0.012463437872194835
Brasil,0,Homens,2025,0.009521415298922501,0.006915913278274786,0.01310851447188338
Brasil,0,Homens,2026,0.00907746597888758,0.006088896270781661,0.013532894129477982
Brasil,0,Homens,2027,0.00865421641750953,0.005409509233294409,0.013845149083049057
Brasil,0,Homens,2028,0.008250701459557513,0.004832224334138619,0.01408752364699129
Brasil,0,Homens,2029,0.00786600095151475,0.004332404559371575,0.014281669710505039
Brasil,0,Homens,2030,0.007499237643310537,0.003894531824682228,0.014440391749895275
Brasil,0,Homens,2031,0.007149575187887057,0.0035078597294946187,0.014571969607979334
Brasil,0,Homens,2032,0.006816216234039072,0.0031644528742978306,0.014682096904188261
Brasil,0,Homens,2033,0.0064984006081777535,0.0028581782653829216,0.014774869355011117
Brasil,0,Homens,2034,0.006195403580872211,0.0025841348752556103,0.014853336757853084
Brasil,0,Homens,2035,0.005906534214216044,0.002338306751094301,0.014919833083224837
Brasil,0,Homens,2036,0.005631133786250156,0.0021173395231418113,0.014976184675188827
Brasil,0,Homens,2037,0.005368574288849145,0.0019183894316043804,0.015023847306533658
Brasil,0,Homens,2038,0.0051182569956457645,0.0017390172151966954,0.015063999622633875
Brasil,0,Homens,2039,0.004879611096727983,0.0015771109751443265,0.015097608748256835
Brasil,0,Homens,2040,0.004652092396995141,0.0014308284583744453,0.015125477511655942
Brasil,0,Homens,2041,0.004435182075205133,0.001298552780568808,0.015148279172452617
Brasil,0,Homens,2042,0.0042283855008826985,0.0011788577180221343,0.015166583439834026
Brasil,0,Homens,2043,0.004031231106391074,0.0010704799859012233,0.01518087628649463
Brasil,0,Homens,2044,0.0038432693115948244,9.722967336219123e-4,0.015191575257508068
Brasil,0,Homens,2045,0.0036640714986618398,8.833070157621702e-4,0.015199041451880412
Brasil,0,Homens,2046,0.0034932290346665618,8.02616348111291e-4,0.015203589009060969
Brasil,0,Homens,2047,0.003330352339765756,7.294236975198081e-4,0.015205492698819361
Brasil,0,Homens,2048,0.003175069998821862,6.630104203442907e-4,0.015204994051501816
Brasil,0,Homens,2049,0.003027027914448152,6.027307819274051e-4,0.015202306352344106
Brasil,0,Homens,2050,0.002885888499544355,5.480037743294414e-4,0.015197618742668813
Brasil,0,Homens,2051,0.0027513299074814397,4.983060116122153e-4,0.015191099612285451
Brasil,0,Homens,2052,0.002623045298180096,4.5316552813339927e-4,0.015182899424510779
Brasil,0,Homens,2053,0.0025007421384093415,4.1215634011248305e-4,0.015173153083389176
Brasil,0,Homens,2054,0.0023841415347096856,3.7489365732130953e-4,0.015161981928801119
Brasil,0,Homens,2055,0.0022729775974196947,3.4102965232439043e-4,0.015149495427035364
Brasil,0,Homens,2056,0.0021669968343556935,3.102497107973566e-4,0.015135792610536117
Brasil,0,Homens,2057,0.002065957572762001,2.8226909919671283e-4,0.015120963309831382
Brasil,0,Homens,2058,0.001969629408213556,2.568299962463816e-4,0.015105089212313292
Brasil,0,Homens,2059,0.0018777926792142288,2.3369884293758894e-4,0.015088244776001
Brasil,0,Homens,2060,0.0017902379662927122,2.1266397244716753e-4,0.01507049802124842
Brasil,0,Homens,2061,0.0017067656144537696,1.935334868941445e-4,0.015051911219245907
Brasil,0,Homens,2062,0.0016271852778958768,1.7613335242457374e-4,0.01503254149287217
Brasil,0,Homens,2063,0.001551315485957019,1.603056879302589e-4,0.01501244134279904
Brasil,0,Homens,2064,0.001478983229298895,1.4590722591512943e-4,0.014991659109602542
Brasil,0,Homens,2065,0.0014100235653858434,1.328079267377906e-4,0.014970239380882286
Brasil,0,Homens,2066,0.001344279242358877,1.20889729769869e-4,0.014948223350957983
Brasil,0,Homens,2067,0.0012816003404471183,1.1004542698808333e-4,0.014925649139532473
Brasil,0,Homens,2068,0.0012218439300989204,1.0017764622010644e-4,0.014902552074735594
Brasil,0,Homens,2069,0.0011648737460531109,9.119793273561654e-5,0.014878964945154633
Brasil,0,Homens,2070,0.0011105598766071132,8.302591915127668e-5,0.01485491822478236
Brasil,1-4,Homens,2024,4.103812602813217e-4,3.354245103567192e-4,5.020884687615144e-4
