Localidade,cod_IBGE,Código DataSUS,Ano,Taxa
Alta Floresta D'Oeste,1100015,110001,1996,15.42
Alta Floresta D'Oeste,1100015,110001,1997,23.85
Alta Floresta D'Oeste,1100015,110001,1998,28.76
Alta Floresta D'Oeste,1100015,110001,1999,24.67
Alta Floresta D'Oeste,1100015,110001,2000,16.21
Alta Floresta D'Oeste,1100015,110001,2001,16.64
Alta Floresta D'Oeste,1100015,110001,2002,20.48
Alta Floresta D'Oeste,1100015,110001,2003,12.11
Alta Floresta D'Oeste,1100015,110001,2004,7.94
Alta Floresta D'Oeste,1100015,110001,2005,21.7
Alta Floresta D'Oeste,1100015,110001,2006,16.81
Alta Floresta D'Oeste,1100015,110001,2007,14.18
Alta Floresta D'Oeste,1100015,110001,2008,19.7
Alta Floresta D'Oeste,1100015,110001,2009,10.28
Alta Floresta D'Oeste,1100015,110001,2010,22.12
Alta Floresta D'Oeste,1100015,110001,2011,15.08
Alta Floresta D'Oeste,1100015,110001,2012,12.95
Alta Floresta D'Oeste,1100015,110001,2013,18.32
Alta Floresta D'Oeste,1100015,110001,2014,5.87
Alta Floresta D'Oeste,1100015,110001,2015,18.77
Alta Floresta D'Oeste,1100015,110001,2016,15.34
Alta Floresta D'Oeste,1100015,110001,2017,14.12
Alta Floresta D'Oeste,1100015,110001,2018,7.35
Alta Floresta D'Oeste,1100015,110001,2019,8.17
Alta Floresta D'Oeste,1100015,110001,2020,6.01
Alta Floresta D'Oeste,1100015,110001,2021,5.6
Alta Floresta D'Oeste,1100015,110001,2022,5.43
Alta Floresta D'Oeste,1100015,110001,2023,10.44
Ariquemes,1100023,110002,1996,29.58
Ariquemes,1100023,110002,1997,24.64
Ariquemes,1100023,110002,1998,25.82
Ariquemes,1100023,110002,1999,30.15
Ariquemes,1100023,110002,2000,14.14
Ariquemes,1100023,110002,2001,14.49
Ariquemes,1100023,110002,2002,16.43
Ariquemes,1100023,110002,2003,18.37
Ariquemes,1100023,110002,2004,11.63
Ariquemes,1100023,110002,2005,11.66
Ariquemes,1100023,110002,2006,16.41
Ariquemes,1100023,110002,2007,18.8
Ariquemes,1100023,110002,2008,21.95
Ariquemes,1100023,110002,2009,9.41
Ariquemes,1100023,110002,2010,12.25
Ariquemes,1100023,110002,2011,10.13
Ariquemes,1100023,110002,2012,11.2
Ariquemes,1100023,110002,2013,11.49
Ariquemes,1100023,110002,2014,13.96
Ariquemes,1100023,110002,2015,10.1
Ariquemes,1100023,110002,2016,15.64
Ariquemes,1100023,110002,2017,13.34
Ariquemes,1100023,110002,2018,15.46
Ariquemes,1100023,110002,2019,10.41
Ariquemes,1100023,110002,2020,7.3
Ariquemes,1100023,110002,2021,11.65
Ariquemes,1100023,110002,2022,21.26
Ariquemes,1100023,110002,2023,12.54
Cabixi,1100031,110003,1996,11.83
Cabixi,1100031,110003,1997,14.93
Cabixi,1100031,110003,1998,12.9
Cabixi,1100031,110003,1999,14.49
Cabixi,1100031,110003,2000,23.26
Cabixi,1100031,110003,2001,29.7
Cabixi,1100031,110003,2002,9.01
Cabixi,1100031,110003,2003,10.64
Cabixi,1100031,110003,2004,41.24
Cabixi,1100031,110003,2005,16.84
Cabixi,1100031,110003,2006,19.05
Cabixi,1100031,110003,2007,16.84
Cabixi,1100031,110003,2008,16.13
Cabixi,1100031,110003,2009,9.09
Cabixi,1100031,110003,2010,10.42
Cabixi,1100031,110003,2011,22.22
Cabixi,1100031,110003,2012,15.62
Cabixi,1100031,110003,2013,13.51
Cabixi,1100031,110003,2014,26.67
Cabixi,1100031,110003,2015,34.88
Cabixi,1100031,110003,2016,16.84
Cabixi,1100031,110003,2017,16.84
Cabixi,1100031,110003,2018,12.2
Cabixi,1100031,110003,2019,25.0
Cabixi,1100031,110003,2020,28.99
Cabixi,1100031,110003,2021,14.71
Cabixi,1100031,110003,2022,16.84
Cabixi,1100031,110003,2023,16.84
Cacoal,1100049,110004,1996,11.63
Cacoal,1100049,110004,1997,15.56
Cacoal,1100049,110004,1998,26.71
Cacoal,1100049,110004,1999,25.56
Cacoal,1100049,110004,2000,16.12
Cacoal,1100049,110004,2001,16.45
Cacoal,1100049,110004,2002,22.34
Cacoal,1100049,110004,2003,16.08
Cacoal,1100049,110004,2004,15.95
Cacoal,1100049,110004,2005,14.94
Cacoal,1100049,110004,2006,18.18
Cacoal,1100049,110004,2007,14.49
Cacoal,1100049,110004,2008,16.72
Cacoal,1100049,110004,2009,17.45
Cacoal,1100049,110004,2010,12.73
Cacoal,1100049,110004,2011,9.2
Cacoal,1100049,110004,2012,14.15
Cacoal,1100049,110004,2013,15.19
Cacoal,1100049,110004,2014,17.6
Cacoal,1100049,110004,2015,18.38
Cacoal,1100049,110004,2016,12.71
Cacoal,1100049,110004,2017,9.64
Cacoal,1100049,110004,2018,13.14
Cacoal,1100049,110004,2019,5.09
Cacoal,1100049,110004,2020,16.6
Cacoal,1100049,110004,2021,9.52
Cacoal,1100049,110004,2022,9.61
Cacoal,1100049,110004,2023,8.94
Cerejeiras,1100056,110005,1996,21.13
Cerejeiras,1100056,110005,1997,22.32
Cerejeiras,1100056,110005,1998,21.1
Cerejeiras,1100056,110005,1999,25.25
Cerejeiras,1100056,110005,2000,15.11
Cerejeiras,1100056,110005,2001,22.83
Cerejeiras,1100056,110005,2002,26.87
Cerejeiras,1100056,110005,2003,33.24
Cerejeiras,1100056,110005,2004,17.12
Cerejeiras,1100056,110005,2005,16.5
Cerejeiras,1100056,110005,2006,7.72
Cerejeiras,1100056,110005,2007,16.46
Cerejeiras,1100056,110005,2008,19.08
Cerejeiras,1100056,110005,2009,9.22
Cerejeiras,1100056,110005,2010,12.5
Cerejeiras,1100056,110005,2011,17.7
Cerejeiras,1100056,110005,2012,24.49
Cerejeiras,1100056,110005,2013,11.07
Cerejeiras,1100056,110005,2014,20.0
Cerejeiras,1100056,110005,2015,3.61
Cerejeiras,1100056,110005,2016,11.41
Cerejeiras,1100056,110005,2017,3.61
Cerejeiras,1100056,110005,2018,15.15
Cerejeiras,1100056,110005,2019,16.88
Cerejeiras,1100056,110005,2020,7.43
Cerejeiras,1100056,110005,2021,7.97
Cerejeiras,1100056,110005,2022,3.68
Cerejeiras,1100056,110005,2023,16.84
Colorado do Oeste,1100064,110006,1996,18.49
Colorado do Oeste,1100064,110006,1997,28.93
Colorado do Oeste,1100064,110006,1998,20.56
Colorado do Oeste,1100064,110006,1999,26.76
Colorado do Oeste,1100064,110006,2000,19.66
Colorado do Oeste,1100064,110006,2001,26.62
Colorado do Oeste,1100064,110006,2002,14.12
Colorado do Oeste,1100064,110006,2003,16.9
Colorado do Oeste,1100064,110006,2004,23.53
Colorado do Oeste,1100064,110006,2005,9.93
Colorado do Oeste,1100064,110006,2006,36.23
Colorado do Oeste,1100064,110006,2007,20.75
Colorado do Oeste,1100064,110006,2008,22.81
Colorado do Oeste,1100064,110006,2009,14.65
Colorado do Oeste,1100064,110006,2010,38.17
Colorado do Oeste,1100064,110006,2011,12.66
Colorado do Oeste,1100064,110006,2012,14.02
Colorado do Oeste,1100064,110006,2013,15.62
Colorado do Oeste,1100064,110006,2014,10.99
Colorado do Oeste,1100064,110006,2015,7.97
Colorado do Oeste,1100064,110006,2016,4.48
Colorado do Oeste,1100064,110006,2017,20.58
Colorado do Oeste,1100064,110006,2018,8.51
Colorado do Oeste,1100064,110006,2019,4.67
Colorado do Oeste,1100064,110006,2020,16.84
Colorado do Oeste,1100064,110006,2021,0.0
Colorado do Oeste,1100064,110006,2022,19.51
Colorado do Oeste,1100064,110006,2023,10.64
Corumbiara,1100072,110007,1996,30.49
Corumbiara,1100072,110007,1997,12.66
Corumbiara,1100072,110007,1998,5.43
Corumbiara,1100072,110007,1999,5.41
Corumbiara,1100072,110007,2000,10.99
Corumbiara,1100072,110007,2001,32.61
Corumbiara,1100072,110007,2002,6.25
Corumbiara,1100072,110007,2003,15.27
Corumbiara,1100072,110007,2004,37.59
Corumbiara,1100072,110007,2005,14.39
Corumbiara,1100072,110007,2006,16.67
Corumbiara,1100072,110007,2007,16.84
Corumbiara,1100072,110007,2008,16.84
Corumbiara,1100072,110007,2009,24.59
Corumbiara,1100072,110007,2010,22.9
Corumbiara,1100072,110007,2011,40.82
Corumbiara,1100072,110007,2012,16.84
Corumbiara,1100072,110007,2013,8.62
Corumbiara,1100072,110007,2014,24.0
Corumbiara,1100072,110007,2015,16.84
Corumbiara,1100072,110007,2016,21.58
Corumbiara,1100072,110007,2017,22.99
Corumbiara,1100072,110007,2018,7.75
Corumbiara,1100072,110007,2019,16.84
Corumbiara,1100072,110007,2020,46.73
Corumbiara,1100072,110007,2021,8.47
Corumbiara,1100072,110007,2022,29.13
Corumbiara,1100072,110007,2023,10.31
Costa Marques,1100080,110008,1996,23.26
Costa Marques,1100080,110008,1997,34.27
Costa Marques,1100080,110008,1998,3.83
Costa Marques,1100080,110008,1999,3.61
Costa Marques,1100080,110008,2000,23.57
Costa Marques,1100080,110008,2001,43.21
Costa Marques,1100080,110008,2002,22.73
Costa Marques,1100080,110008,2003,10.38
Costa Marques,1100080,110008,2004,24.73
Costa Marques,1100080,110008,2005,29.15
Costa Marques,1100080,110008,2006,19.39
Costa Marques,1100080,110008,2007,23.89
Costa Marques,1100080,110008,2008,22.29
Costa Marques,1100080,110008,2009,31.75
Costa Marques,1100080,110008,2010,7.6
Costa Marques,1100080,110008,2011,27.24
Costa Marques,1100080,110008,2012,21.37
Costa Marques,1100080,110008,2013,17.09
Costa Marques,1100080,110008,2014,18.73
Costa Marques,1100080,110008,2015,28.57
Costa Marques,1100080,110008,2016,18.78
Costa Marques,1100080,110008,2017,32.41
Costa Marques,1100080,110008,2018,8.13
Costa Marques,1100080,110008,2019,25.75
Costa Marques,1100080,110008,2020,26.32
Costa Marques,1100080,110008,2021,10.26
Costa Marques,1100080,110008,2022,13.76
Costa Marques,1100080,110008,2023,13.7
Espigão D'Oeste,1100098,110009,1996,26.14
